Pixel, Red, Green, Blue, Fire
704,210,185,133,0
705,211,186,134,0
706,211,187,139,0
707,212,184,135,0
708,212,184,135,0
709,214,184,131,0
710,212,182,129,0
711,210,183,127,0
712,211,184,128,0
713,209,184,132,0
714,210,185,133,0
715,208,187,138,0
716,218,190,137,0
717,212,183,137,0
718,213,184,138,0
719,208,179,133,0
720,212,183,137,0
721,210,182,131,0
722,208,180,129,0
723,208,183,129,0
724,209,184,130,0
725,208,185,134,0
726,210,187,136,0
727,213,188,138,0
728,212,183,139,0
729,208,181,139,0
730,208,179,133,0
731,207,178,132,0
732,206,181,131,0
733,208,183,133,0
734,206,185,136,0
735,208,187,138,0
736,213,188,138,0
737,209,184,134,0
738,206,180,135,0
739,209,183,138,0
740,208,182,137,0
741,208,182,137,0
742,205,179,132,0
743,204,178,131,0
744,204,180,132,0
745,207,183,135,0
746,205,186,136,0
747,207,188,138,0
748,209,185,139,0
749,207,183,137,0
750,206,180,135,0
751,205,179,134,0
752,203,179,131,0
753,203,179,131,0
754,202,181,134,0
755,205,184,137,0
756,206,179,139,0
757,205,178,138,0
758,204,175,131,0
759,207,178,134,0
760,204,178,133,0
761,205,179,134,0
762,205,179,134,0
763,205,179,134,0
764,202,177,134,0
765,206,179,139,0
766,203,176,136,0
767,204,175,131,0
768,206,177,133,0
769,204,178,133,0
770,205,179,134,0
771,204,180,134,0
772,207,183,137,0
773,211,185,138,0
774,208,182,135,0
775,203,177,132,0
776,204,178,133,0
777,203,176,134,0
778,204,177,135,0
779,206,179,137,0
780,208,181,139,0
781,206,185,138,0
782,207,186,139,0
783,215,187,136,0
784,211,182,136,0
785,208,179,133,0
786,204,177,135,0
787,204,177,135,0
788,204,174,137,0
789,206,176,139,0
790,205,178,138,0
791,228,198,138,0
792,226,197,139,0
793,222,193,135,0
794,216,191,137,0
795,211,186,132,0
796,207,184,133,0
797,204,181,130,0
798,203,179,133,0
799,203,179,133,0
800,202,177,138,0
801,203,178,139,0
802,205,180,139,0
803,225,194,137,0
804,219,192,136,0
805,219,192,136,0
806,212,188,131,0
807,204,180,123,0
808,202,178,130,0
809,202,178,130,0
810,201,176,135,0
811,201,176,135,0
812,201,176,137,0
813,203,178,139,0
814,224,190,136,0
815,213,185,134,0
816,213,185,134,0
817,208,183,131,0
818,198,173,121,0
819,195,169,124,0
820,201,175,130,0
821,200,175,134,0
822,201,176,135,0
823,201,176,137,0
824,203,178,139,0
825,220,188,136,0
826,213,185,136,0
827,211,183,134,0
828,202,177,127,0
829,196,171,121,0
830,198,171,129,0
831,199,172,130,0
832,199,172,134,0
833,199,172,134,0
834,201,176,137,0
835,203,178,139,0
836,213,183,130,0
837,208,183,133,0
838,204,179,129,0
839,195,171,125,0
840,194,170,124,0
841,197,172,129,0
842,197,172,129,0
843,198,171,133,0
844,199,172,134,0
845,198,175,138,0
846,202,179,128,0
847,201,177,131,0
848,195,171,125,0
849,194,169,126,0
850,196,171,128,0
851,197,172,131,0
852,197,172,131,0
853,195,172,135,0
854,196,173,136,0
855,198,174,126,0
856,195,170,127,0
857,194,169,126,0
858,193,171,129,0
859,194,172,130,0
860,194,172,132,0
861,194,172,132,0
862,195,172,135,0
863,198,175,138,0
864,193,171,127,0
865,195,170,131,0
866,195,170,131,0
867,192,170,130,0
868,193,171,131,0
869,192,170,130,0
870,194,172,132,0
871,194,173,135,0
872,198,177,139,0
873,194,172,130,0
874,195,170,131,0
875,195,170,131,0
876,191,170,132,0
877,192,171,133,0
878,191,174,132,0
879,193,176,132,0
880,197,180,136,0
881,193,168,129,0
882,191,168,133,0
883,191,168,133,0
884,191,169,127,0
885,193,171,129,0
886,195,175,130,0
887,198,178,133,0
888,200,180,139,0
889,191,169,127,0
890,193,171,129,0
891,196,174,130,0
892,199,177,133,0
893,200,178,138,0
894,201,179,139,0
895,192,170,126,0
896,193,171,127,0
897,195,176,128,0
898,198,179,131,0
899,199,179,134,0
900,200,180,135,0
901,191,171,128,0
902,196,174,130,0
903,198,176,132,0
904,200,178,136,0
905,200,178,136,0
906,191,171,128,0
907,192,172,129,0
908,195,175,130,0
909,197,177,132,0
910,198,178,133,0
911,199,179,134,0
912,194,174,133,0
913,194,174,133,0
914,195,175,134,0
915,197,177,136,0
916,191,174,132,0
917,192,175,133,0
918,193,176,134,0
919,195,178,136,0
920,193,177,138,0
921,192,178,138,0
922,193,179,139,0
923,209,177,138,0
924,193,180,137,0
925,194,178,139,0
926,194,178,139,0
927,206,179,139,0
928,211,177,137,0
929,191,175,136,0
930,194,178,139,0
931,193,177,138,0
932,195,177,138,0
933,196,178,139,0
934,199,177,137,0
935,200,178,138,0
936,204,177,137,0
937,191,175,138,0
938,191,175,138,0
939,195,177,138,0
940,195,177,138,0
941,198,176,136,0
942,199,177,137,0
943,206,176,135,0
944,210,180,139,0
945,217,181,137,0
946,191,175,138,0
947,193,175,136,0
948,193,175,136,0
949,196,174,134,0
950,198,176,136,0
951,205,176,132,0
952,205,176,132,0
953,203,166,120,0
954,195,173,133,0
955,196,174,134,0
956,204,175,131,0
957,206,177,133,0
958,203,166,118,0
959,194,172,130,0
960,196,174,132,0
961,204,175,131,0
962,208,179,135,0
963,214,174,127,0
964,196,169,131,0
965,198,171,133,0
966,209,173,131,0
967,213,177,135,0
968,221,179,130,0
969,225,183,134,0
970,239,194,135,0
971,238,193,134,0
972,237,196,131,0
973,195,168,130,0
974,197,170,132,0
975,210,172,131,0
976,214,176,135,0
977,226,179,134,0
978,231,184,139,0
979,235,188,132,0
980,235,188,132,0
981,231,187,123,0
982,234,190,126,0
983,198,166,129,0
984,200,168,131,0
985,211,170,130,0
986,216,175,135,0
987,225,176,130,0
988,226,177,131,0
989,232,185,129,0
990,231,184,128,0
991,233,186,128,0
992,233,186,128,0
993,236,190,129,0
994,240,194,133,0
995,230,185,128,0
996,231,186,129,0
997,233,187,135,0
998,235,189,137,0
999,196,162,126,0
1000,199,165,129,0
1001,210,165,126,0
1002,215,170,131,0
1003,222,174,125,0
1004,226,178,129,0
1005,231,181,126,0
1006,231,181,126,0
1007,231,184,128,0
1008,232,185,129,0
1009,234,187,131,0
1010,239,192,136,0
1011,242,195,139,0
1012,195,158,121,0
1013,198,161,124,0
1014,201,156,115,0
1015,204,159,118,0
1016,219,171,122,0
1017,225,177,128,0
1018,228,178,125,0
1019,227,177,124,0
1020,226,179,123,0
1021,228,181,125,0
1022,229,182,124,0
1023,236,189,131,0
1024,236,189,133,0
1025,241,194,138,0
1026,194,157,120,0
1027,196,159,122,0
1028,203,159,115,0
1029,208,164,120,0
1030,217,171,121,0
1031,217,171,121,0
1032,217,170,116,0
1033,219,172,118,0
1034,219,169,114,0
1035,219,169,114,0
1036,219,169,112,0
1037,227,177,120,0
1038,228,182,130,0
1039,233,187,135,0
1040,234,188,138,0
1041,231,187,139,0
1042,228,186,137,0
1043,230,188,139,0
1044,191,152,114,0
1045,195,156,118,0
1046,202,155,110,0
1047,204,157,112,0
1048,203,155,106,0
1049,208,160,111,0
1050,214,168,116,0
1051,223,177,125,0
1052,221,174,120,0
1053,215,168,114,0
1054,217,170,114,0
1055,213,166,110,0
1056,223,177,127,0
1057,234,188,138,0
1058,228,184,138,0
1059,192,151,109,0
1060,194,153,111,0
1061,197,153,105,0
1062,198,154,106,0
1063,199,152,105,0
1064,202,155,108,0
1065,196,152,106,0
1066,202,158,112,0
1067,205,158,113,0
1068,209,162,117,0
1069,213,167,115,0
1070,212,166,114,0
1071,211,167,119,0
1072,222,178,130,0
1073,213,172,130,0
1074,220,179,137,0
1075,225,185,138,0
1076,193,148,109,0
1077,191,147,103,0
1078,194,150,106,0
1079,193,149,105,0
1080,194,150,106,0
1081,194,151,111,0
1082,193,150,110,0
1083,203,156,111,0
1084,198,151,106,0
1085,194,150,106,0
1086,200,159,119,0
1087,205,164,124,0
1088,218,180,137,0
1089,219,181,138,0
1090,225,188,138,0
1091,218,181,131,0
1092,214,177,131,0
1093,207,170,124,0
1094,214,175,139,0
1095,209,170,134,0
1096,191,149,112,0
1097,195,150,109,0
1098,196,151,110,0
1099,196,148,108,0
1100,195,147,107,0
1101,193,148,109,0
1102,194,149,110,0
1103,199,158,118,0
1104,206,165,125,0
1105,194,153,113,0
1106,194,153,113,0
1107,195,157,114,0
1108,203,165,122,0
1109,209,173,131,0
1110,211,175,133,0
1111,210,171,135,0
1112,212,173,137,0
1113,200,160,133,0
1114,191,145,109,0
1115,193,147,111,0
1116,191,149,114,0
1117,191,152,116,0
1118,192,155,120,0
1119,198,160,130,0
1120,205,167,137,0
1121,197,156,132,0
1122,195,156,131,0
1123,197,158,133,0
1124,198,153,135,0
1125,194,154,136,0
1126,195,154,132,0
1127,192,157,124,0
1128,192,156,132,0
1129,196,164,139,0
1130,226,186,139,0
1131,223,183,136,0
1132,223,178,139,0
1133,218,174,139,0
1134,211,174,135,0
1135,216,178,137,0
1136,216,178,137,0
1137,219,179,134,0
1138,220,180,135,0
1139,221,180,138,0
1140,221,180,138,0
1141,203,168,139,0
1142,201,163,135,0
1143,194,156,128,0
1144,192,154,122,0
1145,195,157,125,0
1146,199,160,124,0
1147,200,161,125,0
1148,203,164,128,0
1149,204,165,129,0
1150,204,165,129,0
1151,205,166,130,0
1152,205,168,133,0
1153,212,170,137,0
1154,206,166,135,0
1155,197,160,139,0
1156,194,160,135,0
1157,193,158,129,0
1158,193,158,129,0
1159,196,158,128,0
1160,196,157,132,0
1161,196,158,128,0
1162,195,157,127,0
1163,195,157,129,0
1164,203,165,137,0
1165,207,167,136,0
1166,209,169,138,0
1167,210,173,138,0
1168,209,172,137,0
1169,192,160,135,0
1170,194,159,139,0
1171,194,159,139,0
1172,195,160,138,0
1173,193,159,134,0
1174,194,160,135,0
1175,199,164,133,0
1176,196,161,130,0
1177,196,158,126,0
1178,196,158,126,0
1179,192,154,124,0
1180,192,158,131,0
1181,193,161,136,0
1182,192,160,135,0
1183,193,159,132,0
1184,193,159,132,0
1185,196,161,130,0
1186,201,166,135,0
1187,208,171,134,0
1188,205,168,131,0
1189,205,167,137,0
1190,199,161,131,0
1191,197,161,137,0
1192,193,157,133,0
1193,196,157,134,0
1194,192,157,135,0
1195,196,161,132,0
1196,192,157,128,0
1197,192,154,122,0
1198,194,159,130,0
1199,199,164,135,0
1200,195,159,133,0
1201,192,157,135,0
1202,198,154,133,0
1203,197,160,139,0
1204,196,159,138,0
1205,193,158,129,0
1206,198,153,135,0
1207,202,155,137,0
1208,191,162,136,0
1209,205,167,137,0
1210,206,168,136,0
1211,202,167,134,0
1212,194,163,133,0
1213,199,164,135,0
1214,197,162,129,0
1215,204,169,136,0
1216,193,160,128,0
1217,202,167,134,0
1218,193,158,125,0
1219,191,145,113,0
1220,192,159,127,0
