Pixel, Red, Green, Blue, Fire
1197,255,167,117,0
1198,255,170,120,0
1199,255,175,124,0
1200,255,180,129,0
1201,255,184,133,0
1202,255,189,136,0
1203,255,195,139,0
1204,255,203,133,0
1205,255,198,130,0
1206,255,193,126,0
1207,255,188,122,0
1208,255,183,118,0
1209,254,176,114,0
1210,247,169,107,0
1211,242,164,102,0
1212,238,162,102,0
1213,234,159,101,0
1214,232,157,100,0
1215,231,156,99,0
1216,228,152,100,0
1217,224,148,98,0
1218,219,145,96,0
1219,217,143,96,0
1220,215,141,96,0
1221,213,138,98,0
1222,210,135,96,0
1223,207,131,95,0
1224,205,129,95,0
1225,202,126,92,0
1226,199,123,91,0
1227,197,121,89,0
1228,196,119,89,0
1229,194,117,87,0
1230,191,120,88,0
1231,196,123,90,0
1232,199,125,90,0
1233,207,129,91,0
1234,211,132,93,0
1235,219,136,96,0
1236,227,140,97,0
1237,236,143,100,0
1238,243,148,104,0
1239,250,152,107,0
1240,255,155,109,0
1241,255,161,112,0
1242,255,164,115,0
1243,255,168,117,0
1244,255,172,121,0
1245,255,176,125,0
1246,255,181,130,0
1247,255,185,136,0
1248,255,190,137,0
1249,255,208,138,0
1250,255,203,134,0
1251,255,198,130,0
1252,255,193,128,0
1253,255,187,124,0
1254,255,182,122,0
1255,254,175,116,0
1256,249,170,111,0
1257,238,162,104,0
1258,238,163,105,0
1259,236,161,104,0
1260,232,157,100,0
1261,228,152,100,0
1262,226,150,100,0
1263,223,147,98,0
1264,221,144,98,0
1265,219,142,98,0
1266,216,138,99,0
1267,211,136,97,0
1268,209,133,97,0
1269,206,130,96,0
1270,204,128,94,0
1271,200,124,92,0
1272,198,122,90,0
1273,197,120,90,0
1274,194,117,89,0
1275,191,114,86,0
1276,194,121,89,0
1277,198,123,91,0
1278,201,125,91,0
1279,208,130,92,0
1280,213,134,93,0
1281,221,138,96,0
1282,229,142,99,0
1283,238,145,102,0
1284,246,149,104,0
1285,252,154,107,0
1286,255,157,108,0
1287,255,163,114,0
1288,255,166,117,0
1289,255,170,119,0
1290,255,175,123,0
