RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
191.781,134.545,131.585,1.05714,8.81095,9.94287,0.168601,0.000911298,0.000193627,4.58952e-006,1.15355e-010,-1.91259e-009,7.35632e-011,0
196.933,139.267,101.439,4.58944,14.7889,20.5419,0.986111,0.724151,0.651269,0.459502,0.250298,0.359367,0.0231823,0
200.099,193.604,78.1524,6.6117,13.837,37.9857,0,0,0,0,0,0,0,0
207.54,126.404,115.182,12.3908,15.4148,15.1997,0.297971,0.0615681,7.98517e-005,3.23717e-005,1.62715e-009,7.38455e-006,-2.4739e-010,0
206.656,124.27,111.341,13.8052,15.3443,14.5431,0.889056,0.31012,0.00411166,0.00842497,4.56587e-005,0.00451424,-1.93409e-005,0
203.403,126.836,112.54,13.6716,18.919,15.8112,0.262566,0.0419839,0.000109865,2.05227e-005,9.3562e-010,3.75802e-006,2.72531e-010,0
224.097,118.816,78.5235,15.9639,17.8227,25.2696,0.282529,0.0521093,0.000188221,5.79241e-005,5.64284e-009,1.11768e-005,-2.17684e-009,0
235.786,119.633,74.0169,15.7329,18.6679,22.5042,0.308012,0.040973,0.000972787,0.00504347,1.11117e-005,0.00101961,-1.15197e-006,0
231.76,126.951,100.015,15.399,12.7744,17.3374,0.902778,0.150077,0.520097,0.158114,0.0453176,0.0524146,0.00146945,0
210.005,121.389,100.873,12.5765,15.0983,18.2654,0.169722,0.000995262,0.000203174,1.638e-006,2.2866e-011,4.5755e-008,1.92369e-011,0
224.229,124.43,101.178,14.194,14.6745,18.6811,1.88889,3.16049,0.0579561,0.00495199,-8.38917e-005,-0.00880354,2.75476e-011,0
233.033,132.97,107.835,15.5405,13.5221,17.6175,0.336691,0.0791204,0.00293081,0.000514044,3.32369e-007,3.73108e-005,-5.3631e-007,0
209.601,117.937,98.0733,13.239,13.3083,16.9745,2.44856,2.96317,2.22685,0.293926,0.103393,0.0626661,0.21414,0
225.491,129.276,105.02,16.3769,12.1378,14.9926,0,0,0,0,0,0,0,0
211.224,119.038,96.3085,13.8775,15.1862,19.1583,0.253298,0.0349772,0.000509946,5.05863e-005,-6.5845e-009,-9.30755e-006,4.75989e-009,0
202.984,163.43,103.291,6.05443,6.92903,9.17511,0.403292,0.0597639,0.0334489,0.00683694,0.000101967,0.00166272,-1.71003e-005,0
213.966,175.986,117.153,11.4305,11.4534,12.5945,0.203615,0.014073,9.03879e-005,9.62411e-006,-1.28804e-010,-8.89019e-007,2.52948e-010,0
199.277,160.682,106.162,5.56859,7.93242,13.42,0.55144,0.218276,0.0262534,0.0131614,0.00023443,0.00404764,6.99716e-005,0
207.065,168.541,110.356,10.0451,11.4666,12.5479,0.184483,0.00407248,0.00149511,1.74e-005,-2.80647e-009,-1.1104e-006,9.17002e-016,0
209.703,171.702,121.258,11.658,11.6925,10.8225,0.759983,0.411992,0.181256,0.0383485,0.00164057,0.00874749,0.00274418,0
